#ofCHs	8
994815	0	0	16568287	0	0	0
0	109564	0	0	0	0	0
0	76796	0	0	0	0	0
0	11058174	0	0	127568830	0	0
0	0	0	5586941	0	0	0
0	0	0	0	236478	0	0
0	0	0	0	105406	0	0
0	7203838	0	0	0	0	0
60636671	0	0	12045151	0	0	0
0	0	0	101568349	25123758	0	0
109956951	0	0	36061053	2871230	0	0
9019199	0	0	0	0	0	0
23670135	0	0	0	0	0	0
14323095	0	0	0	0	0	0
16395703	0	0	0	0	0	0
4197887	0	0	0	0	0	0
0	0	0	0	6556646	0	0
163799	0	0	0	0	0	0
18632151	0	0	0	0	0	0
0	142334	0	0	0	0	0
0	8076284	0	0	0	0	0
17592127	0	0	0	0	0	0
0	0	0	7356415	46828478	0	0
102263	0	0	0	0	0	0
23743999	0	0	0	0	0	0
26049943	0	0	0	0	0	0
3317151	127044476	0	0	90021822	0	0
0	13532158	0	0	0	0	0
0	0	0	18685789	49676286	0	0
85519703	0	0	17969151	0	0	0
0	24828798	0	0	48180214	0	0
13000095	0	0	0	0	0	0
0	0	0	0	170918	0	0
0	0	0	0	122878	0	0
117406999	0	0	0	1859502	0	0
0	0	0	0	13381542	0	0
18493303	0	0	0	54635518	0	0
109847	130236286	0	103800701	0	0	0
0	24091644	0	0	0	0	0
0	0	0	0	19972078	0	0
3874743	0	0	0	0	0	0
24440791	0	0	0	0	0	0
22240567	0	0	0	0	0	0
687583	0	0	0	0	0	0
9735575	1907580	0	0	0	0	0
3337631	0	0	0	52482030	0	0
0	0	0	0	297974	0	0
0	0	0	0	93158	0	0
69500255	0	0	24395647	0	0	0
0	0	0	7216095	0	0	0
115011351	72490878	0	0	15784942	0	0
0	0	0	0	602038	0	0
4893975	0	0	0	0	0	0
26172767	0	0	0	0	0	0
18197783	0	0	0	0	0	0
