#ofCHs	4
1043446	1039871	1040127	1036219
1043446	1039567	1039559	1036219
1040382	1039871	1039871	1036287
1040382	1039871	1039871	1036219
1043446	1039567	1035975	1036219
1043446	1039567	1039559	1036287
1043446	1039871	1039559	1036219
1043446	1040127	1039871	1036287
1040382	1040383	1039871	1039291
1043446	1039871	1040127	1036287
1040382	1039871	1039871	1039293
1040382	1039871	1039871	1036285
1040382	1039871	1039871	1039359
1043446	1039871	1039871	1039359
1040382	1039871	1039871	1036219
1040382	1039871	1039871	1036287
1040382	1039871	1039871	1036287
1043446	1039823	1039559	1036219
1043446	1039871	1035975	1036219
1040310	1040127	1039871	1039289
1040382	1040127	1039871	1039293
1043446	1039871	1039871	1036287
1040382	1039871	1039871	1036287
1040310	1039871	1039871	1036219
1040382	1039871	1039863	1036287
1040382	1039871	1039871	1036281
1040382	1039871	1039871	1036285
1040382	1039871	1039871	1039293
1040310	1040383	1039871	1036287
1040382	1039871	1036231	1036287
1043446	1040127	1039871	1039291
1040310	1039871	1039559	1036219
1043446	1040383	1039871	1036287
1043446	1040127	1039871	1039293
1043446	1040127	1040127	1036219
1043446	1039871	1039871	1039293
1040382	1039823	1039871	1036219
1040310	1039871	1039871	1039291
1040310	1039567	1035975	1036287
1040310	1039871	1039871	1036287
1040382	1040127	1040111	1036287
1040382	1039871	1039871	1039291
1040382	1039871	1039871	1036287
1043446	1040127	1039871	1039291
1043438	1039871	1039615	1036285
1040382	1035983	1039871	1036219
1043446	1039871	1039863	1036287
1040382	1039871	1039871	1039293
1040310	1039823	1039871	1039293
1040310	1039871	1039871	1039293
1043446	1040127	1039871	1039293
1040310	1039871	1039871	1039293
1040382	1039871	1035975	1036285
1043438	1039871	1040119	1036285
1043438	1039871	1039615	1039291
1040382	1040127	1039871	1036285
1043446	1039871	1039871	1039291
1043446	1039871	1039863	1039359
1043446	1039871	1039871	1039291
1040294	1039871	1035975	1036287
1043446	1039871	1039871	1036219
1040310	1039871	1039615	1036287
1043446	1039871	1040127	1036287
1043446	1039871	1039871	1036287
1043446	1039871	1039871	1036285
1040382	1039871	1039871	1039291
1040382	1039871	1039615	1036285
1040382	1039871	1035975	1036217
1040382	1039871	1039871	1036285
1040382	1039871	1039871	1036219
1043446	1040383	1039871	1039293
1040382	1039871	1039871	1036287
1040310	1039871	1039871	1039293
1040382	1039871	1039871	1036287
1040382	1039871	1039871	1039289
1043446	1039871	1036231	1036287
1040310	1035983	1036231	1036287
1040382	1039871	1039871	1036287
1040382	1039871	1039863	1036287
1043446	1039871	1039863	1036287
1040310	1040127	1039871	1039289
1040382	1039871	1039871	1036281
1043446	1040127	1040367	1036219
1043446	1039871	1039871	1036287
1040310	1039871	1039871	1039289
1043446	1039871	1035975	1036287
1043446	1039871	1039863	1036287
1043446	1039871	1039871	1036219
1040382	1039871	1039615	1039291
1040382	1039871	1039871	1036285
1040310	1039871	1039871	1039291
1040382	1039871	1039871	1036285
1043446	1040383	1040375	1039359
1043446	1040383	1039863	1039289
1043446	1039871	1035975	1036219
1040310	1039871	1039871	1039359
1043446	1040127	1039863	1036287
1043438	1039871	1039871	1036285
1043438	1039871	1039871	1039291
1040310	1039871	1040127	1036287
1043446	1040383	1040367	1039289
